tourney_id,tourney_name,surface,draw_size,tourney_level
1998-M-FU-ITA-04A-1998,Italy F4,Clay,32,S
1984-718,Boca West,Hard,32,A
2008-3669,Bucharest2 CH,Clay,32,C
1993-M-SA-ARG-03A-1993a,Argentina 3 Masters 1,Clay,32,S
1993-460,Heilbronn CH,Carpet,32,C
1980-583,Manchester,Grass,64,A
2007-M-FU-BRA-19A-2007,Brazil F19,Clay,32,S
2001-645,Rocky Mount CH,Clay,32,C
2008-768,Wroclaw CH,Hard,32,C
1995-M-SA-INA-01A-1995b,Indonesia Masters 2,Hard,24,S
2019-M-ITF-TUN-50A-2019,M15 Monastir,Hard,32,S
2001-58,Magdeburg CH,Carpet,32,C
2007-587,Asuncion CH,Clay,32,C
2004-D035,Davis Cup G1 R2: THA vs UZB,Hard,4,D
2007-416,Rome Masters,Clay,56,M
1999-D044,Davis Cup G1 QF: FIN vs ISR,Carpet,4,D
1997-851,Dresden CH,Clay,32,C
2016-M-FU-KAZ-04A-2016,Kazakhstan F4,Clay,32,S
2000-M-FU-HUN-05A-2000,Hungary F6,Clay,32,S
2007-M-FU-ITA-15A-2007,Italy F15,Clay,32,S
1991-M-SA-ALG-01A-1991c,North Africa Masters 3,Clay,32,S
2001-M-SA-FIN-01A-2001d,Finland 4,Clay,32,S
1994-D014,Davis Cup G2 F: CAN vs VEN,Hard,4,D
1974-D048,Davis Cup EUR PQ: TUR vs IRL,,4,D
1998-D044,Davis Cup G2 R1: POR vs GEO,Clay,4,D
1985-418,Washington,Clay,56,A
1991-M-SA-POR-02A-1991a,Portugal 2 Masters 1,Clay,32,S
2015-M-FU-GER-09A-2015,Germany F9,Clay,32,S
2002-M-FU-BRA-03A-2002,Brazil F3,Hard,32,S
1992-408,Milan,Carpet,32,A
1994-M-SA-GBR-04A-1994c,Great Britain 4 Masters 3,Hard,32,S
1988-428,Tokyo Indoor,Carpet,32,A
2003-M-SA-ESP-01A-2003a,Spain 1 1,Clay,24,S
2008-D058,Davis Cup G2 R2: RSA vs DEN,Hard,4,D
2006-3507,Maui CH,Hard,32,C
1984-406,Brussels,Carpet,32,A
2012-254,Vancouver CH,Hard,32,C
1985-332,Cologne,Hard,32,A
1991-M-SA-FRA-03A-1991a,France 3 Masters 1,Carpet,32,S
2006-3535,Rimouski CH,Hard,32,C
